"GEOID","tot_can","MINORPCT","LOWINCPCT","LESSHSPCT","LINGISOPCT","UNDER5PCT","OVER64PCT","SUM_ECSI_open","SUM_LUST_open","countAdv","all_cat","PM25_EPA","PM25_NWAQ_MAX","PM25_Mean_NWAQ","min_dec","min_quin","un5_dec","un5_quin","o64_dec","o64_quin","lhs_dec","lhs_quin","inc_dec","inc_quin","lin_dec","lin_quin","lus_av","lus_max","lus_num"
410170019021,18.1622564,0.168104177,0.220512821,0.057910586,0.016345348,0.085574159,0.154743785,2,0,NA,"Low",6.11856,6,6,"(0.139,0.172]",5,"(0.0812,0.1]",9,"(0.134,0.158]",5,"(0.0447,0.0616]",4,"(0.177,0.233]",3,"(0.07901, 0.0218]",7,NA,NA,NA
410170019022,18.1622564,0.265438787,0.197183099,0.047657512,0.027434842,0.031419285,0.206933911,0,0,NA,"Low",6.11856,6,5.370881,"(0.212,0.266]",7,"(0.023,0.0324]",3,"(0.183,0.21]",7,"(0.0447,0.0616]",4,"(0.177,0.233]",3,"(0.0218,0.0404]",8,NA,NA,NA
410170019023,18.1622564,0.063829787,0.160904255,0,0,0,0.191489362,0,0,NA,"Low",6.11856,6,5.569282,"(0.0503,0.0826]",2,NA,NA,"(0.183,0.21]",7,NA,NA,"(0.119,0.177]",2,"(0, 0]",1,NA,NA,NA
410170019024,18.1622564,0.048309179,0.058661146,0,0,0,0.186335404,2,0,NA,"Low",6.11856,6,5.021138,"(0,0.0503]",1,NA,NA,"(0.183,0.21]",7,NA,NA,"(0,0.119]",1,"(0, 0]",1,NA,NA,NA
410170020001,17.65375685,0.047236181,0.113381001,0,0,0.016080402,0.427135678,0,0,NA,"Low",5.946573,6,5.437646,"(0,0.0503]",1,"(0.00931,0.023]",2,"(0.309,0.832]",10,NA,NA,"(0,0.119]",1,"(0, 0]",1,NA,NA,NA
410170020002,17.65375685,0.127783669,0.381230117,0.000844595,0,0.04718982,0.066808059,1,0,NA,"Low",5.946573,6,5.833979,"(0.109,0.139]",4,"(0.0419,0.0505]",5,"(0.066,0.0936]",2,"(0,0.0114]",1,"(0.38,0.432]",7,"(0, 0]",1,NA,NA,NA
410170020003,17.65375685,0.063518457,0.355762825,0.059185606,0,0.056534752,0.184569338,1,0,NA,"Low",5.946573,6,5.825578,"(0.0503,0.0826]",2,"(0.0505,0.0588]",6,"(0.183,0.21]",7,"(0.0447,0.0616]",4,"(0.331,0.38]",6,"(0, 0]",1,NA,NA,NA
410170020004,17.65375685,0.13221709,0.377598152,0.066413662,0,0.048498845,0.139722864,2,0,NA,"Low",5.946573,6,5.18642,"(0.109,0.139]",4,"(0.0419,0.0505]",5,"(0.134,0.158]",5,"(0.0616,0.0788]",5,"(0.331,0.38]",6,"(0, 0]",1,NA,NA,NA
410170021001,16.32145926,0.058887677,0.12917847,0.093728928,0,0.035441658,0.364231189,0,0,NA,"Low",5.821386,6,5.675448,"(0.0503,0.0826]",2,"(0.0324,0.0419]",4,"(0.309,0.832]",10,"(0.0788,0.0968]",6,"(0.119,0.177]",2,"(0, 0]",1,NA,NA,NA
410170021002,16.32145926,0.133884919,0.353140278,0.072102052,0,0.037984205,0.100789771,2,0,NA,"Low",5.821386,6,6,"(0.109,0.139]",4,"(0.0324,0.0419]",4,"(0.0936,0.113]",3,"(0.0616,0.0788]",5,"(0.331,0.38]",6,"(0, 0]",1,NA,NA,NA
410170021003,16.32145926,0.044265937,0.11263032,0.017793594,0,0.048538711,0.105281149,0,0,NA,"Low",5.821386,6,5.770264,"(0,0.0503]",1,"(0.0419,0.0505]",5,"(0.0936,0.113]",3,"(0.0114,0.0282]",2,"(0,0.119]",1,"(0, 0]",1,NA,NA,NA
410170021004,16.32145926,0.027853632,0.311098961,0.115797546,0,0.164391043,0.164391043,0,0,NA,"Low",5.821386,6,5.621403,"(0,0.0503]",1,"(0.1,0.245]",10,"(0.158,0.183]",6,"(0.0968,0.122]",7,"(0.283,0.331]",5,"(0, 0]",1,NA,NA,NA
410190100001,14.26999461,0.015981735,0.246575342,0.167420814,0,0.054794521,0.232876712,4,1,NA,"Medium",5.23289,5,4.089541,"(0,0.0503]",1,"(0.0505,0.0588]",6,"(0.21,0.248]",8,"(0.157,0.213]",9,"(0.233,0.283]",4,"(0, 0]",1,455,455,1
410190100002,14.26999461,0.155731225,0.568498769,0.208879919,0.032414911,0.02687747,0.332806324,1,8,NA,"Medium",5.23289,5,4.86951,"(0.139,0.172]",5,"(0.023,0.0324]",3,"(0.309,0.832]",10,"(0.157,0.213]",9,"(0.499,0.592]",9,"(0.0218,0.0404]",8,982.5,1305,8
410190200001,14.7693223,0.058270677,0.462406015,0.147783251,0,0.09962406,0.308270677,0,0,NA,"Low",5.278936,5,5,"(0.0503,0.0826]",2,"(0.0812,0.1]",9,"(0.248,0.309]",9,"(0.122,0.157]",8,"(0.432,0.499]",8,"(0, 0]",1,NA,NA,NA
410190200002,14.7693223,0.119266055,0.410341952,0.039378238,0,0.059216013,0.295246038,0,0,NA,"High",5.278936,5,3.967725,"(0.109,0.139]",4,"(0.0588,0.0686]",7,"(0.248,0.309]",9,"(0.0282,0.0447]",3,"(0.38,0.432]",7,"(0, 0]",1,NA,NA,NA
410190200003,14.7693223,0.093727977,0.402017291,0.126258005,0.017799353,0.071881607,0.320648344,0,0,NA,"Low",5.278936,5,5,"(0.0826,0.109]",3,"(0.0686,0.0812]",8,"(0.309,0.832]",10,"(0.122,0.157]",8,"(0.38,0.432]",7,"(0.07901, 0.0218]",7,NA,NA,NA
410190200004,14.7693223,0.028846154,0.479217604,0.068181818,0,0,0.399038462,0,0,NA,"Low",5.278936,5,4.867705,"(0,0.0503]",1,NA,NA,"(0.309,0.832]",10,"(0.0616,0.0788]",5,"(0.432,0.499]",8,"(0, 0]",1,NA,NA,NA
410190300001,18.80962803,0.173120729,0.435079727,0.062801932,0,0.055808656,0.226651481,2,0,NA,"Low",5.594991,6,4.904243,"(0.172,0.212]",6,"(0.0505,0.0588]",6,"(0.21,0.248]",8,"(0.0616,0.0788]",5,"(0.432,0.499]",8,"(0, 0]",1,NA,NA,NA
